DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
15006000,WALKERBROOK,36.4,13.7,,1.79,No
15006800,LONG LOST,157.8,19.2,,1.84,No
15006900,COX,17.4,6,1.523925632,3.35,No
15007000,GLANDERS,15.7,10.6,,1.86,No
15007500,ROGSTAD,51.8,5.4,,4.89,No
15007900,MINERVA,95.5,4.8,2.407802499,6.41,No
15008100,LOMOND,36.8,12.8,,1.92,No
15008300,PETERSON,30.9,21.3,,1.1,No
15008600,JOHNSON,22.8,21.3,,1.02,No
15009000,DEEP,18.9,23.1,,0.9,Yes
15010400,LONE,27.8,21.3,5.790917403,1.07,No
15010800,PICKEREL,49.5,18.2,5.18134715,1.45,No
15011700,ANGUS,18.6,10.6,,1.94,No
15012100,EVEY UPPER CAMP,21,5.7,,3.69,No
15012200,"CAMP, LOWER",13.3,8.2,,2.32,No
15012300,BUNGO,35.2,23.7,,1.02,No
15012400,MCKENZIE,31.1,5.1,,4.56,No
15012700,WAPATUS,15.2,17.6,,1.11,No
15012800,BLAKELY,15.3,13.7,,1.44,No
15013100,JACKSON LAKE,48.5,10.6,,2.47,No
15013700,MINNOW,41.2,7.3,,3.46,No
15013900,FIRST,23.4,10.9,,2,No
15014000,SECOND,27.9,14.3,,1.6,No
15014400,LINDBERG,35.7,5.7,,4.22,No
15014900,PINE,480.9,4.5,2.743066138,10.24,No
16001100,Unnamed,5.2,2.4,,6.21,No
16001200,,,,,,No
16001300,,,,,,No
16001400,Stevens,8,4.8,,3.45,No
16001500,Moosehorn,25.5,2.7,,8.19,No
16001600,Unnamed,4.8,5.1,,2.86,No
16001900,Tom,233.1,10.6,,3.66,No
16002000,Unnamed,8.5,6.4,,2.66,No
16002200,Lost,27.1,3,,7.48,No
16002300,Esther,31.9,10.6,4.876562024,2.22,No
16002400,,,,,,No
16002600,"John, Little",13.7,2.4,,7.89,No
16002700,Mcfarland,155.4,14.9,,2.36,Yes
16002800,Nisula,43.7,5.4,,4.68,No
16002900,Devilfish,160.1,12.1,3.962206644,2.91,No
16003100,Loft,5.2,14.6,,1.03,No
16003200,Otter,30.3,3.3,,7,No
16003300,Chester,20.2,10.6,4.327948796,1.98,No
16003400,"Fowl, South",582.9,3,1.828710759,16.12,No
16003500,John,68.4,6,,4.71,No
16003600,"Fowl, North",412.9,3,1.828710759,14.79,No
16003800,Long,56.6,7.3,3.962206644,3.75,No
16003900,Stump,95.9,16.4,7.314843036,1.9,No
16004000,Fault,24.6,3,,7.31,No
16004100,Pine,913.7,34.4,,1.59,Yes
16004200,"Pike, East",200.8,12.1,,3.08,Yes
16004300,Moose,406.8,34.4,15.9097836,1.3,Yes
16004400,Boys,9.7,3.9,1.645839683,4.45,No
16004500,Kimball,31.9,4.8,2.773544651,4.87,No
16004600,Mink,23,4.5,3.139286803,4.79,No
16004800,Marsh,6.4,1.5,,10.46,No
16004900,Trout,104,23.4,,1.36,Yes
16005000,Bogus,6.9,7.6,3.047851265,2.12,No
16005200,Benson,12.9,1.5,,12.44,No
16005300,Woodpecker,4.8,5.1,,2.86,No
16005700,Paine,7.6,0.6,,27.32,No
16006000,Gadwall,8.5,15.8,,1.07,No
16006100,Vale,9.7,10.3,,1.7,No
16006200,Spaulding,21.4,10.9,,1.96,No
16006300,Bench,10.5,4.8,,3.69,No
16006400,Table,8,1.5,,11.06,No
16006600,Kiowa,12.9,8.8,,2.14,No
16006700,Shelf,23.8,6.7,,3.29,No
16007000,Tomato,10.5,5.7,,3.11,No
16007100,Carrot,10.9,5.1,3.047851265,3.5,No
16007300,"Bean, South",6.8,4.2,,3.79,No
16007600,"Shady, North",14.1,6,2.804023164,3.18,No
16007700,Greenwood,818.2,34.1,,1.56,Yes
16007800,Triangle,21.4,4.5,1.523925632,4.7,No
16007900,Sunfish,32.3,7.6,4.02316367,3.13,No
16008000,Shoe,11.8,5.1,,3.58,No
16008100,Kindle,8.5,0.9,,18.67,No
16008300,Vaseux,4,3,,4.65,No
16008400,Fan,2.4,0.9,,13.65,No
16008500,Pemmican,11.3,15.5,,1.18,No
16008600,"Pike, West",289.4,36.5,,1.12,Yes
16008700,Gogebic,28.3,18.5,,1.24,No
16008800,Assinika,10.5,1.5,,11.81,No
16008900,Northern Light,175.3,2.2,,15.91,No
16009000,Crystal,85,24.3,,1.24,No
16009100,Pierz,35.6,8.5,3.840292594,2.86,No
16009300,Mountain,845.3,64,,0.84,No
16009400,Monker,35.6,2.1,,11.45,No
16009600,Elbow,176.9,2.7,,13.29,No
16009700,Pickerel,16.3,3.9,1.523925632,5.07,No
16009800,Binagami,44.1,6.4,,4.02,No
16010200,Twelve,6,6.4,,2.45,No
16010400,Musquash,56.6,7.9,,3.46,No
16010500,Muckwa,16.5,7.6,,2.64,No
16010700,Merganser,9.7,0.9,,19.3,No
16010800,Pine Mountain,41.7,9.1,3.535507467,2.77,No
16011000,Circle,12.5,0.9,0.609570253,20.58,No
16011200,Canoe,38.3,12.1,,2.04,No
16011300,Paddle,6.4,4.8,,3.27,No
16011400,Alder,204.8,21.9,,1.72,No
16011500,Rocky,30.7,10.6,,2.2,No
16011700,Moon,58.7,9.1,,3.02,No
16011800,Ruby,6,3,,5.15,No
16011900,Crocodile,110.1,5.1,,6.25,No
16012000,Parsnip,10.9,7.6,,2.38,No
16012300,Kraut,9.7,6,,2.89,No
16012800,Swamper,20.2,2.8,,7.32,No
16013000,Cucumber,21.8,7.9,,2.72,No
16013100,Onion,12.5,1.2,,15.43,No
16013200,Turnip,7.2,9.1,,1.79,No
16013300,Peanut,6,3.3,,4.68,No
16013500,Jim,23.8,7.9,,2.78,No
16013600,Deer,28.7,9.1,,2.53,No
16013700,Rove,31.5,9.1,,2.59,No
16013800,Watap,81.7,13.7,,2.19,No
16013900,Clearwater,536.4,39.6,12.80097531,1.21,Yes
16014100,Caribou,182.9,19.8,,1.85,No
16014200,"Caribou, Little",23.4,5.4,2.743066138,4.01,No
16014300,Devil Track,744.1,15.2,,3.42,No
16014400,,,,,,No
16014500,"Twin, East",69.8,5.7,2.52971655,4.99,No
16014600,"Bearskin, East",178.5,20.1,,1.81,No
16014700,Flour,135.5,22.8,,1.49,Yes
16014800,Rudy,17,4.5,,4.44,No
16014900,Locket,6.4,4.5,1.219140506,3.48,No
16015000,Daniels,197.9,27.4,,1.36,No
16015100,Blueberry,6.2,2.1,,7.4,No
16015500,Pit,10.9,5.1,2.438281012,3.5,No
16015600,Two Island,295.9,8.2,,5.04,No
16015700,Dick,52.6,3.6,,7.36,No
16015800,Olson,13.7,5.4,1.798232246,3.51,No
16015900,Junco,18.2,1.5,0.914355379,13.55,No
16016000,Thompson,7.4,3.6,2.316366961,4.51,No
16016400,Bath,12,7,,2.65,No
16016700,Dislocation,15.3,6.7,3.322157879,2.95,No
16016800,Kroft,8.9,3.6,,4.72,No
16017000,"Trout, Little",49.7,17,,1.55,No
16017400,Ram,27.1,12.1,,1.87,No
16017500,Bower Trout,60.3,1.8,,15.23,No
16017600,Marshall,20.6,4.8,1.828710759,4.37,No
16017700,Dugout,10.1,2.4,,7.31,No
16017800,Skidway,7.2,2.4,,6.73,No
16018200,Ball Club,79.3,7.6,,3.91,No
16018400,,,,,,No
16018600,"Twin, West",55.4,11.2,3.444071929,2.41,No
16018700,Talus,7.2,6.7,,2.45,No
16018800,Kemo,74.4,19.8,,1.48,No
16019100,Thrush,6.4,14.6,,1.09,No
16019200,Thrasher,10.9,8.2,,2.2,No
16019300,Mit,32.3,12.1,,1.95,No
16019400,Pine,35.2,10.3,4.480341359,2.35,No
16019500,Lantern,41.2,9.1,,2.77,No
16019600,Wampus,11.3,5.4,,3.34,No
16019800,Leo,40.9,8.5,5.089911612,2.96,No
16019900,Lizz,12.1,9.1,2.52971655,2.04,No
16020000,Road,5.6,4.5,,3.37,No
16020200,Squint,7.2,7,,2.34,No
16020400,Aspen,53,8.8,,3.05,No
16020500,Bear Cub,11.7,3.3,,5.52,No
16020600,Unnamed,4,7.6,,1.86,No
16020800,Shoko,21.4,7.6,,2.82,No
16020900,Glenn,10.1,3.6,,4.87,No
16021000,Quiver,7.7,7.6,,2.18,No
16021200,Fag,3.2,2.7,,4.89,No
16021400,Nighthawk,7.2,3.3,,4.9,No
16021500,,,,,,No
16022000,Morgan,33.1,14,,1.71,No
16022100,Carl,23.8,6.7,,3.29,No
16022200,Jake,11.3,7.9,,2.31,No
16022300,Lux,19,6.4,,3.26,No
16022400,Vista,89.8,14.3,,2.14,No
16022500,Misquah,24.2,18.2,,1.21,No
16022600,Lima,4,7.6,,1.86,No
16022700,Hungry Jack,187.5,21.6,,1.71,No
16022800,"Bearskin, West",200,23.7,9.448338921,1.58,No
16022900,Rat,22.6,1.5,,14.31,No
16023000,Rose,532.3,27.4,,1.75,Yes
16023100,Unnamed,3.2,5.4,,2.44,No
16023200,Duncan,194.7,39.6,14.26394392,0.94,Yes
16023300,Partridge,44.1,24.3,10.66747943,1.05,No
16023400,Moss,102.8,26.2,12.7704968,1.21,Yes
16023500,Mcdonald,40,2.4,,10.31,No
16023600,Lac,22.2,6,2.133495885,3.56,No
16023800,Hand,38.4,6.7,,3.71,No
16023900,Poplar,294.7,22.2,,1.86,Yes
16024000,Caribou,103.2,7.9,,4.02,No
16024100,Horseshoe,81.7,7.9,,3.79,No
16024400,South,481.7,42.6,,1.09,Yes
16024500,Dunn,36.5,18.2,,1.34,No
16024600,"Otter, East",18.6,4.5,,4.54,No
16024700,Birch,99.5,21,7.924413289,1.5,No
16024800,Ward,17,3.9,,5.12,No
16025000,Mark,56.6,1.5,,18,No
16025100,Turtle,26.3,2.4,,9.28,No
16025200,Pike,327.9,13.7,,3.1,No
16025300,Deer Yard,142.4,6,,5.66,No
16025600,Swamp,34.8,2.4,,9.96,No
16025800,Shrike,10.5,3.3,,5.37,No
16025900,Zoo,36.4,7.9,,3.1,No
16026600,Echo,53.8,3.6,,7.4,No
16026700,Vernon,94.3,30.7,,1.01,Yes
16026800,Swan,72.8,37.1,,0.78,No
16027000,Bull,23,10,2.743066138,2.17,No
16027100,Cow,15.7,10.9,,1.81,No
16027400,Calf,6,5.4,2.133495885,2.86,No
16028700,Crow,14.9,1.8,,10.75,No
16028800,Eagle,29.1,4.2,,5.44,No
16029100,Whale,8.5,3,,5.6,No
16029700,"Portage, Little",3.8,8.2,3.383114904,1.7,No
16029800,One Island,7.6,7.6,,2.18,No
16029900,Rush,110.9,16.4,,1.97,No
16030000,Bedew,18.2,5.4,,3.76,No
16030300,Lum,10.9,5.1,,3.5,No
16030400,Skipper,43.7,9.1,,2.81,No
16030700,Meeds,136.4,12.4,,2.73,No
16030800,Prune,4.2,6.4,,2.24,No
16031400,Henson,50.4,12.1,,2.18,No
16031900,Gaskin,140,24.9,,1.37,Yes
16032000,Allen,19.8,3.6,,5.77,No
16032700,Portage,58.7,16.7,5.425175251,1.65,No
16032800,Iron,42.5,5.7,,4.4,No
16032900,"North, Little",39.6,7,3.047851265,3.58,No
16033000,"Gunflint, Little",38.4,4.8,,5.1,No
16033100,North,1091,38,,1.5,Yes
16033500,Sock,8,7,,2.4,No
16033600,Topper,15.3,8.5,,2.32,No
16033700,Mayhew,88.6,25.6,9.905516611,1.19,No
16033800,Wisker,9.7,1.5,,11.58,No
16033900,"Mayhew, Little",28.3,9.4,,2.44,No
16034100,"Pope, West",28.7,4.2,,5.42,No
16034200,"Pope, East",12.1,8.5,,2.18,No
16034300,Surber,3.2,6.4,2.743066138,2.09,No
16034400,Bigsby,36.2,1.2,,20.12,No
16034500,Tomash,38.8,1.5,,16.38,No
16034600,Cascade,168,5.1,,6.94,No
16034700,"Cascade, Little",108,2.7,,11.75,No
16034800,Brule,1869.2,23.7,10.66747943,2.76,Yes
16035000,Banadad,68,13.7,,2.09,No
16035400,Winchell,334.4,48.7,,0.87,Yes
16035500,"Iron, Little",33.1,5.4,,4.37,No
16035600,Gunflint,1704.4,60.9,,1.05,Yes
16035700,Crab,31.9,5.1,,4.58,Yes
16035800,Barker,57.4,4.5,,6.02,No
16035900,Agnes,28.7,1.8,1.523925632,12.66,No
16036000,Caribou,294.7,9.1,,4.53,No
16036100,Williams,16.1,5.7,,3.46,No
16036200,Slip,8.9,5.4,,3.14,No
16036300,Dogtrot,8.9,3.6,,4.72,No
16036400,Bulge,4.8,2.4,,6.08,No
16036500,Clara,165.9,4.5,,7.85,No
16036600,Holly,27.9,1.8,,12.57,No
16036800,Mistletoe,49.3,1.8,,14.49,No
16036900,White Pine,138.4,3,,11.25,No
16037000,Strobus,4.5,6.7,2.438281012,2.17,No
16037300,Christine,78.9,2.1,,13.97,No
16037400,Wills,30.7,1.8,,12.87,No
16037500,Pipe,121.4,10,,3.3,No
16037600,Tobacco,5.2,2.7,,5.52,No
16037700,Hilly,12.1,7,,2.66,No
16037800,Kinogami,46.5,9.1,,2.85,No
16038000,Gust,54.6,1.8,1.523925632,14.86,No
16038100,Jock Mock,6.8,6,,2.65,No
16038200,Lichen,111.7,5.1,,6.27,No
16038300,Bouder,55,5.1,,5.25,No
16038400,Tait,136.8,4.5,,7.48,No
16038500,Fleck,12.5,1.5,,12.35,No
16038600,"Pipe, East",42.9,3.6,,6.99,No
16038700,"Pipe, West",6.8,1.8,,8.85,No
16038900,Mulligan,12.1,18.8,,0.98,No
16039100,"Cone, Middle",29.5,9.1,,2.55,No
16039300,"Cone, South",27.1,6.4,,3.56,No
16039700,Cam,24.2,17.3,4.571776897,1.27,No
16039800,Wench,9.5,17.9,,0.97,No
16040000,Lily,8.9,15.5,,1.11,No
16040200,Juno,100.4,7,,4.51,No
16040300,Whip,14.1,2.7,,7.07,No
16040500,Star,48.5,3.9,,6.66,No
16040600,Homer,179.3,6.7,,5.45,No
16040700,Axe,21.4,3.6,,5.88,No
16040800,Squire,33.1,2.1,,11.25,No
16040900,Vern,57.4,12.8,,2.15,No
16041000,Whack,13.7,8.2,2.438281012,2.34,No
16041200,"Cone, North",34.8,16.7,,1.44,No
16041700,Tucker,68,12.8,,2.24,No
16041800,"Dawkins, East",19.4,4.5,,4.59,No
16042800,Kiskadinna,53.1,12.1,,2.21,No
16043500,Davis,142.9,19.5,,1.77,No
16043800,Cash,30.7,17.6,,1.33,No
16044800,Loon,414.9,61.5,,0.73,Yes
16045000,Extortion,8,10.9,,1.53,No
16045100,Trip,5.3,5.7,,2.63,No
16045200,Silver,8.9,1.8,,9.44,No
16045300,Rice,73.6,3,,9.61,No
16045400,Crescent,301.2,8.5,,4.88,No
16045500,Stem,17.4,10.3,,1.97,No
16045600,"Temperance, North",72,15.2,,1.91,No
16045700,"Temperance, South",82.5,7.3,,4.12,Yes
16045800,Town,31.9,21.9,,1.08,No
16045900,Dawkins,27.5,5.7,3.047851265,3.95,No
16046000,Long Island,349.7,25.9,,1.66,No
16046100,Karl,42.5,21.3,,1.19,No
16046300,Magnetic,174.4,27.4,,1.32,Yes
16046700,Iowa,12.1,3.9,,4.71,No
16047000,Anderson,4.4,1.8,,7.94,No
16047300,Manymoon,9.7,1.9,,8.91,No
16047400,Missouri,11.3,1.2,0.914355379,15.05,No
16047500,Pancore,12.9,11.5,4.114599208,1.63,No
16047600,Kelly,61.5,3.9,1.219140506,7.06,No
16047700,Burnt,132.3,7,,4.83,No
16047800,Peterson,35.6,4.5,2.682109113,5.34,No
16048300,Wee,5.2,10.3,,1.46,No
16048400,Midget,9.7,7.6,,2.31,No
16048600,Baker,9.7,3,,5.79,No
16048800,Marsh,27.9,3.9,,5.8,No
16048900,Moore,21.4,2.4,0.914355379,8.82,No
16049100,Sober,4.8,5.4,,2.7,No
16049200,Temperance River,14.5,3.3,,5.82,No
16049300,Pagoda,5.2,2.1,,7.09,No
16049400,Flame,22.2,6.7,,3.23,No
16049600,Sawbill,309.7,13.7,,3.05,No
16051500,Ada,8.9,3.9,,4.36,No
16051800,Clam,23.8,5.7,,3.81,No
16052000,Weird,13.3,1.8,,10.45,No
16052100,Jack,40.8,3,1.523925632,8.29,No
16052200,Handle,5.6,2.1,,7.23,No
16052400,Cherokee,304.8,43.2,,0.96,No
16052700,Snipe,45.3,27.4,,0.94,No
16052800,Mavis,4,16.7,,0.84,No
16052900,Missing Link,16.1,7.6,3.779335568,2.63,No
16053200,Blue Snow,19.8,15.2,,1.38,No
16053800,Copper,13.7,15.8,,1.21,No
16056900,Gordon,56.2,28.9,,0.94,No
16057100,Frost,95.5,26.8,,1.16,No
16058000,Granite,8,13.7,,1.22,Yes
16058100,Clove,69.6,7.6,,3.79,No
16058200,Larch,52.9,4.2,1.219140506,6.32,No
16058300,Meditation,11.3,9.4,4.510819872,1.94,No
16058600,"Kerfoot, East",4.4,7.9,,1.83,No
16058700,"Kerfoot, West",9.7,4.5,,3.86,No
16059700,Mine,11.7,9.1,,2.02,No
16059900,Everett,18.6,16.7,,1.23,No
16060000,Brandt,42.1,24.3,,1.04,No
16060100,Honker,18.6,10.3,,2,No
16060400,Edith,4,13.4,,1.05,No
16060500,Ron,4,6,,2.32,No
16060600,Round,58.7,13.7,,2.01,No
16060800,Ham,40.4,12.1,,2.06,No
16060900,Morris,25.1,6.7,,3.33,No
16061000,Maraboeuf,159,16,,2,Yes
16061100,Shadow,5.6,7,,2.2,No
16061200,Reward,8.5,4.2,,4,No
16061300,Tenor,8,3.3,,5.03,No
16061500,Prayer,17.4,5.7,,3.52,No
16061600,Devil's Elbow,35.9,15.2,,1.6,Yes
16061700,Gneiss,97.1,21.3,8.107284365,1.47,Yes
16061800,Ambush,12.5,4.5,,4.11,No
16062100,Tepee,38.8,6.7,,3.72,No
16062200,ALTON,420.6,21.9,,2.06,Yes
16062300,Tuscarora,337.2,39.6,,1.08,No
16062600,Jap,59.1,18.2,,1.51,No
16062700,Bingshick,18,11.2,,1.82,No
16062800,Green,16.1,22.8,,0.87,No
16062900,Sea Gull,1632.3,44.1,10.97226455,1.43,Yes
16063200,Gull,74,12.1,,2.4,Yes
16063300,Saganaga,7122.6,85.3,,1.07,Yes
16063302,Saganaga (Areas 2 and 4),2269.6,85.3,,0.8,Yes
16063303,Saganaga (Area 3),1029.1,45.7,,1.23,Yes
16063305,Saganaga (Area 5),578.5,10.6,,4.59,Yes
16063306,Saganaga (Area 6),967.6,36.5,,1.52,Yes
16063307,Saganaga (Area 7),765.1,19.8,,2.65,Yes
16063308,Saganaga (Area 8),79.7,13.7,,2.17,Yes
16063400,DYERS,27.1,7,,3.25,Yes
16063600,SODA,7.6,5.4,,3.03,No
16063700,FOX,14.5,1.5,,12.82,No
16063900,FOUR MILE,231.5,5.9,,6.56,No
16064000,Waffle,10.1,1.2,,14.63,No
16064400,CEDAR,31.1,2.1,,11.07,No
16064500,TOOHEY,148.9,3.3,,10.42,No
16064600,FINGER,71.6,4.2,,6.81,No
16064700,"SNOW, BIG",19.8,3.6,,5.77,No
16065100,"SNOW, LITTLE",11.2,3.3,,5.45,No
16065200,RETREAT,6.8,3.3,,4.83,No
16065300,HOG,77.7,2.1,1.523925632,13.91,No
16065400,TIMBER,95.5,3.6,,8.54,No
16065500,TAIL,8.5,0.9,,18.67,No
16065700,GRACE,158.2,4.8,,7.27,No
16065900,Beth,73.6,6.7,,4.36,No
16066600,DOLLAR,33.1,1.8,,13.12,No
16066700,VYRE,9.7,1.2,,14.48,No
16067300,MESABA,81.3,19.8,,1.51,No
16068600,WINE,104,19.8,,1.61,No
16070600,KELSO,39.2,4.8,3.047851265,5.13,No
16071600,Fern,23,19.8,,1.1,No
16071800,"Fern, West",30.3,18.2,,1.28,No
16071900,Virgin,22.6,12.1,,1.78,No
16072000,Rattle,18.2,9.1,,2.25,No
16072100,Elm,51,23.4,,1.13,No
16072200,Ecstasy,26.7,14.3,,1.58,No
16072300,Crooked,94.3,20.1,,1.54,No
16072600,Owl,32.7,21.3,,1.12,No
16073200,Mora,82.9,12.1,,2.47,No
16075200,Bat,32.3,33.5,,0.71,No
16075300,Gillis,230.7,54.8,4.876562024,0.71,No
16075500,French,45.3,39.6,,0.65,No
16075600,Powell,20.6,22.8,,0.93,No
16075700,Peter,104.8,36.5,,0.87,No
16075900,Alpine,339.6,19.8,,2.16,Yes
16076300,Jimmy,10.7,1.5,,11.88,No
16076500,Rog,20.6,12.1,6.263334349,1.74,No
16076800,Jasper,96.7,38,9.448338921,0.82,No
16076900,Ray,26.7,25.6,,0.88,No
16078200,Glee,19.8,2.4,,8.65,No
16078300,Fay,26.7,18.8,,1.2,No
16078900,Howard,63.9,38,,0.74,No
16079300,Red Rock,142.9,19.5,,1.77,Yes
16079600,Unnamed,5.6,9.4,,1.63,No
16079700,Roy,24.6,13.7,,1.62,No
16079800,Grandpa,48.5,16.7,,1.57,No
16080100,Larry,4,1.2,,11.63,No
16080500,ELBOW,208.9,7,,5.42,No
16080600,FREAR,112.1,5.1,,6.28,No
16080700,Knight,40,1.8,,13.75,No
16080800,PHOEBE,253,7.6,3.047851265,5.23,No
16080900,"Saganaga, Little",637.6,45.7,,1.09,No
16081100,Gabimichigami,485,63.7,,0.73,No
16081200,Kingfisher,14.1,12.8,,1.51,No
16081300,Zephyr,49.3,12.1,,2.17,No
16081400,Unnamed,2.8,6.7,,1.93,No
16081600,Unnamed,3.6,5.1,,2.66,No
16084000,Unnamed,3.6,5.1,,2.66,No
16089600,Margaret,2.4,8.8,,1.41,No
16089700,Sled,2.6,6,,2.08,No
16089800,Stony,3.6,10.9,,1.25,No
16089900,Unnamed,2.4,5.1,,2.4,No
16090000,GRANITE BAY,26.3,10.6,,2.12,No
16090100,Swamp River Reservoir,123.4,3,,10.93,No
16090200,,,,,,No
16090300,Unnamed,3.6,10.9,,1.25,No
16090500,FEATHER,4,7.3,,1.93,No
17000300,MOUNTAIN,97.5,2.4,,12.88,No
17000700,BINGHAM,104.8,3,2.438281012,10.49,No
17000800,CLEAR,32.7,2.4,,9.81,No
17001300,,,,,,No
17002000,EAGLE,48.5,2.4,1.828710759,10.82,No
17002200,COTTONWOOD,56.6,3,2.438281012,9,No
17002700,ARNOLDS,53.8,3.9,,6.83,No
17005400,BEAN,57,3.6,,7.51,No
17005600,DOUBLE,99.5,2.7,,11.51,No
17006000,TALCOT,274.4,1.8,,22.25,No
17007300,SUMMIT,32.3,3,,7.82,No
17008500,SHOPER BUSH RES,8,4.5,,3.68,No
18000100,"WHITEFISH, L.",281.7,18.8,,2.16,Yes
18000200,LONG,44.9,17.6,,1.46,Yes
18000900,ERSKINE,71.2,4.2,,6.8,No
18001400,BULLDOG,57,10.3,,2.65,No
18001600,ROCK,80.5,6.7,,4.46,No
18001800,CAMP,193.5,12.8,,2.91,No
18001900,KENNEY,40,16.7,,1.5,Yes
18002000,BORDEN,387.4,25.6,,1.73,Yes
18002100,MILLER,43.7,14.6,,1.75,No
18002600,BASSETT,12.9,11.5,,1.63,No
18002800,SMITH,178.5,16.4,,2.22,Yes
18002900,HOLT,62.3,8.8,,3.17,No
18003000,BARBOUR,20.6,16.4,,1.29,Yes
18003300,SCOTT,62.7,14.9,,1.88,No
18003400,BAY,968.4,22.5,,2.47,Yes
18003500,KNIEFF,15.3,12.8,,1.54,No
18003800,CLEARWATER,356.2,16.4,,2.63,Yes
18004100,CROOKED,179.3,21.9,,1.66,Yes
18004300,,,,,,No
18004400,HANKS,65.1,13.7,,2.07,Yes
18004500,MAPLE,24.2,7,,3.16,No
18004700,TURTLE,38.4,10,,2.47,No
18004800,PARTRIDGE,74.4,12.8,,2.29,No
18005000,PORTAGE,110.9,11.2,,2.87,Yes
18005900,BLACK,38.4,14.3,,1.73,No
18006000,AGATE,74.4,7.6,,3.85,No
18006100,CASCADE,17.8,7.3,,2.8,No
18006200,LARSON,18.2,13.1,,1.57,No
18006500,TOWN CENTER,17,14,,1.44,No
18006700,RENO,70.8,2.7,,10.57,No
18006900,PORTAGE,48.5,17.3,,1.51,Yes
18007000,HAMLET,111.7,26.8,,1.21,No
18007200,SHIRT,90.6,11.5,,2.66,No
18007600,LONG,86.6,11.8,,2.56,No
18007900,,,,,,No
18008200,RUSHMEYER,14.9,7.9,,2.48,No
18008300,CARLSON,37.2,11.2,,2.19,No
18008700,CASEY,20.6,11.8,3.047851265,1.79,No
18008800,PLATTE,706.8,7,2.438281012,7.35,Yes
18009000,SERPENT,427.9,19.8,,2.29,Yes
18009301,"RABBIT, BIG, E.",258.2,102.7,,0.39,No
18009302,"RABBIT, BIG",214.9,15.2,,2.51,Yes
18009600,"LONG, UPPER",324.6,14.3,,2.96,Yes
18010400,NOKAY,267.2,12.8,,3.15,Yes
18010500,POINTON,69.2,4.2,,6.76,No
18010800,BUTTERNUT,11.7,10.3,,1.78,No
18011000,GRAVE,63.5,3.9,,7.12,No
18011100,LOON,16.1,6,,3.29,No
18011400,PASCOE,45.7,3.6,,7.11,No
18011500,PORTAGE,11.3,9.4,,1.94,No
18011600,JUNE,16.5,15.5,,1.29,No
18011700,BLACK HOOF,74,8.8,,3.31,No
18011800,"BLACK HOOF, L.",23.4,3.9,,5.55,No
18011900,ROE,10.1,41.1,,0.43,Yes
18012000,HAY,15.3,6,,3.24,No
18012200,ROSE,16.1,3.3,,5.98,No
18012300,LOOKOUT,88.6,4.8,,6.29,No
18012600,MAHNOMEN,102.4,7.6,,4.17,No
18012900,ISLAND,52.2,10.9,,2.45,No
18013100,CLINKER,34,10.6,,2.26,Yes
18013300,MILLER,43.3,10.6,,2.4,Yes
18013500,TURNER,21.4,10.9,,1.96,No
18013600,"LONG, LOWER",531.5,14.3,,3.35,Yes
18013900,"RABBIT, LITTLE",68.8,9.1,,3.15,Yes
18014000,BLACK BEAR,89,14.6,,2.09,Yes
18014500,RICE,175.7,7.6,,4.77,No
18014700,ROUND,55.4,3.9,,6.88,No
18015500,CROW WING,154.6,7.9,,4.45,No
18016100,SEBIE,68.4,8.2,,3.49,No
18016300,SULLIVAN,32.3,11.5,,2.05,No
18016400,NELSON,125.5,3.6,,9.15,No
18016500,ROSS,197.1,9.1,,4.09,No
18016600,MUD,34,8.5,,2.82,No
18016700,TWIN,31.5,28.6,,0.82,No
18016900,STARK,87,20.1,,1.51,No
18017000,"DEAN, UPPER",115.3,7.3,,4.48,No
18018000,LOWS,129.1,2.7,,12.28,No
18018300,ISLAND,97.1,11.2,,2.78,No
18018400,ROGERS,88.6,19.5,,1.57,No
18018500,MARY,153.8,10.3,,3.39,No
18018600,PERRY,58.2,7,,3.94,No
18019000,INDIAN JACK,31.5,7.6,,3.11,No
18019100,BASS,29.1,3.6,,6.35,No
18019500,DOLNEY,109.7,4.8,1.219140506,6.63,No
18020200,EASTHAM,30.7,6.7,,3.51,No
18020300,EMILY,268.8,3.9,,10.21,No
18020500,PICKEREL,36.4,7.6,,3.22,No
18020600,PAPOOSE,32.7,6.4,,3.73,No
18020700,LITTLE EMILY,44.9,7.9,,3.26,No
18020800,ALLEN,20.2,14,,1.51,Yes
18020900,PUG HOLE,19.4,9.1,,2.29,Yes
18021100,BLUE,39.2,13.7,,1.82,Yes
18021200,RUTH,238,11.8,,3.3,No
18021300,ANNA,49.3,5.7,,4.57,No
18021800,"TROUT, LITTLE",46.1,6.7,,3.88,No
18022000,SMOKEY HOLLOW,46.1,7.6,,3.42,No
18022200,WOOD,33.1,11.5,5.18134715,2.07,No
18022500,ADNEY,123,8.2,,4.04,No
18022600,GOODRICH,145.7,10.6,,3.25,No
18022700,O'BRIEN,76.1,14.9,,1.97,No
18023100,BUTTERFIELD,57.4,7,,3.92,No
18023300,GREEN,5.6,6.7,,2.3,No
18023400,HORSESHOE,16.1,8.5,,2.34,No
18023600,TAYLOR,14.5,9.7,,2,No
18023800,HALF MOON,17.8,7,,2.93,No
18023900,SILVER,86.6,7,,4.35,No
18024000,FAWN,47.3,7.3,,3.58,No
