DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
86027300,French,134.4,15.2,5.0594331,2.23,No
86027400,DANS,29.5,8.2,,2.83,No
86027900,West Lake Sylvia,353,29.5,9.966473636,1.46,Yes
86028000,PICKEREL,7.6,11.2,,1.47,No
86028100,Caroline,51,13.7,4.571776897,1.94,Yes
86028200,Louisa,78.5,13.4,3.200243828,2.21,No
86028400,Augusta,71.6,24.9,7.589149649,1.16,Yes
86028800,,,,,,No
86028900,Sylvia,263.9,23.7,12.5266687,1.69,Yes
86029300,COLLINWOOD,236.4,8.5,3.657421518,4.59,No
86029700,SCOTT,32.3,7,,3.4,No
86029800,UNION,35.8,10.6,,2.29,No
86032000,HIDDEN,2.8,9.7,,1.33,No
87001600,CURTIS,178.1,2.4,,14.98,No
87001900,TYSON,59.5,2.4,,11.39,No
87003000,WOOD,174.8,2.7,,13.25,No
87013400,SYLVAN,6,1.5,,10.3,No
87018000,DEL CLARK,62.3,9.1,3.962206644,3.07,No
87018100,JOHN,8,3.6,,4.61,No
87018500,,6.8,4.2,,3.79,No
