"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10848220_19790104.20160101_spfh2m.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10848220_19790104.20160101_tmp2m.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10848220_19790104.20160101_ugrd10m.RData"
"nhd_10848220"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10848220_19790104.20160101_vgrd10m.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10848298_19790104.20160101_apcpsfc.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10848298_19790104.20160101_dlwrfsfc.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10848298_19790104.20160101_dswrfsfc.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10848298_19790104.20160101_pressfc.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10848298_19790104.20160101_spfh2m.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10848298_19790104.20160101_tmp2m.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10848298_19790104.20160101_ugrd10m.RData"
"nhd_10848298"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10848298_19790104.20160101_vgrd10m.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_10848338_19790104.20160101_apcpsfc.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_10848338_19790104.20160101_dlwrfsfc.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_10848338_19790104.20160101_dswrfsfc.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_10848338_19790104.20160101_pressfc.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_10848338_19790104.20160101_spfh2m.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_10848338_19790104.20160101_tmp2m.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_10848338_19790104.20160101_ugrd10m.RData"
"nhd_10848338"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_10848338_19790104.20160101_vgrd10m.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1096982_19790104.20160101_apcpsfc.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1096982_19790104.20160101_dlwrfsfc.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1096982_19790104.20160101_dswrfsfc.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1096982_19790104.20160101_pressfc.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1096982_19790104.20160101_spfh2m.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1096982_19790104.20160101_tmp2m.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1096982_19790104.20160101_ugrd10m.RData"
"nhd_1096982"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1096982_19790104.20160101_vgrd10m.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1097288_19790104.20160101_apcpsfc.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1097288_19790104.20160101_dlwrfsfc.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1097288_19790104.20160101_dswrfsfc.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1097288_19790104.20160101_pressfc.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1097288_19790104.20160101_spfh2m.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1097288_19790104.20160101_tmp2m.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1097288_19790104.20160101_ugrd10m.RData"
"nhd_1097288"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1097288_19790104.20160101_vgrd10m.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1097324_19790104.20160101_apcpsfc.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1097324_19790104.20160101_dlwrfsfc.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1097324_19790104.20160101_dswrfsfc.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1097324_19790104.20160101_pressfc.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1097324_19790104.20160101_spfh2m.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1097324_19790104.20160101_tmp2m.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1097324_19790104.20160101_ugrd10m.RData"
"nhd_1097324"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1097324_19790104.20160101_vgrd10m.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1098396_19790104.20160101_apcpsfc.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1098396_19790104.20160101_dlwrfsfc.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1098396_19790104.20160101_dswrfsfc.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1098396_19790104.20160101_pressfc.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1098396_19790104.20160101_spfh2m.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1098396_19790104.20160101_tmp2m.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1098396_19790104.20160101_ugrd10m.RData"
"nhd_1098396"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1098396_19790104.20160101_vgrd10m.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1098568_19790104.20160101_apcpsfc.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1098568_19790104.20160101_dlwrfsfc.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1098568_19790104.20160101_dswrfsfc.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1098568_19790104.20160101_pressfc.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1098568_19790104.20160101_spfh2m.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1098568_19790104.20160101_tmp2m.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1098568_19790104.20160101_ugrd10m.RData"
"nhd_1098568"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1098568_19790104.20160101_vgrd10m.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1098608_19790104.20160101_apcpsfc.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1098608_19790104.20160101_dlwrfsfc.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1098608_19790104.20160101_dswrfsfc.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1098608_19790104.20160101_pressfc.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1098608_19790104.20160101_spfh2m.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1098608_19790104.20160101_tmp2m.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1098608_19790104.20160101_ugrd10m.RData"
"nhd_1098608"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1098608_19790104.20160101_vgrd10m.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1098628_19790104.20160101_apcpsfc.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1098628_19790104.20160101_dlwrfsfc.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1098628_19790104.20160101_dswrfsfc.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1098628_19790104.20160101_pressfc.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1098628_19790104.20160101_spfh2m.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1098628_19790104.20160101_tmp2m.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"ugrd10m"	"NLDAS_nhd_1098628_19790104.20160101_ugrd10m.RData"
"nhd_1098628"	"1979-01-04"	"2016-01-01"	"vgrd10m"	"NLDAS_nhd_1098628_19790104.20160101_vgrd10m.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"apcpsfc"	"NLDAS_nhd_1098766_19790104.20160101_apcpsfc.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"dlwrfsfc"	"NLDAS_nhd_1098766_19790104.20160101_dlwrfsfc.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"dswrfsfc"	"NLDAS_nhd_1098766_19790104.20160101_dswrfsfc.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"pressfc"	"NLDAS_nhd_1098766_19790104.20160101_pressfc.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"spfh2m"	"NLDAS_nhd_1098766_19790104.20160101_spfh2m.RData"
"nhd_1098766"	"1979-01-04"	"2016-01-01"	"tmp2m"	"NLDAS_nhd_1098766_19790104.20160101_tmp2m.RData"
