"id","source","type","zmax"
"nhd_12988899","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",2.7432
"nhd_NA","swimms","maxdepth",0.9144
"nhd_13282768","swimms","maxdepth",1.8288
"nhd_1852639","swimms","maxdepth",10.668
"nhd_6864295","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",3.048
"nhd_13345428","swimms","maxdepth",1.8288
"nhd_6817254","swimms","maxdepth",6.096
"nhd_13078811","swimms","maxdepth",26.5176
"nhd_13343446","swimms","maxdepth",10.0584
"nhd_12991207","swimms","maxdepth",1.524
"nhd_1816087","swimms","maxdepth",4.572
"nhd_9033701","swimms","maxdepth",18.8976
"nhd_1803771","swimms","maxdepth",3.048
"nhd_13081341","swimms","maxdepth",3.6576
"nhd_2646814","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",3.048
"nhd_14701238","swimms","maxdepth",1.524
"nhd_13394447","swimms","maxdepth",6.096
"nhd_6808112","swimms","maxdepth",6.096
"nhd_14725988","swimms","maxdepth",2.4384
"nhd_13119266","swimms","maxdepth",2.7432
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",NA
"nhd_9035803","swimms","maxdepth",8.5344
"nhd_14726184","swimms","maxdepth",3.6576
"nhd_6808506","swimms","maxdepth",6.096
"nhd_1816195","swimms","maxdepth",6.4008
"nhd_NA","swimms","maxdepth",4.2672
"nhd_2646860","swimms","maxdepth",7.62
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",2.7432
"nhd_NA","swimms","maxdepth",1.2192
"nhd_13394649","swimms","maxdepth",7.9248
"nhd_12987607","swimms","maxdepth",7.9248
"nhd_2262477","swimms","maxdepth",10.9728
"nhd_13078295","swimms","maxdepth",12.192
"nhd_NA","swimms","maxdepth",14.3256
"nhd_NA","swimms","maxdepth",3.3528
"nhd_13343088","swimms","maxdepth",20.7264
"nhd_9029637","swimms","maxdepth",7.3152
"nhd_NA","swimms","maxdepth",1.524
"nhd_9029569","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",2.4384
"nhd_2260855","swimms","maxdepth",6.096
"nhd_2646614","swimms","maxdepth",5.1816
"nhd_13080575","swimms","maxdepth",3.048
"nhd_NA","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",0.3048
"nhd_13080639","swimms","maxdepth",32.3088
"nhd_19284911","swimms","maxdepth",1.8288
"nhd_120053596","swimms","maxdepth",2.1336
"nhd_NA","swimms","maxdepth",1.8288
"nhd_14707294","swimms","maxdepth",3.048
"nhd_NA","swimms","maxdepth",2.4384
"nhd_13117714","swimms","maxdepth",4.2672
"nhd_13343264","swimms","maxdepth",9.144
"nhd_NA","swimms","maxdepth",3.6576
"nhd_13118744","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",6.096
"nhd_13120838","swimms","maxdepth",6.096
"nhd_NA","swimms","maxdepth",2.1336
"nhd_14726228","swimms","maxdepth",6.4008
"nhd_13399071","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",3.3528
"nhd_6792441","swimms","maxdepth",6.096
"nhd_NA","swimms","maxdepth",13.4112
