"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","Permnn_I","id"
"USGS-04043237",46.7507606,-87.9076306,NA,NA
"USGS-04043238",46.7821482,-87.8776299,NA,NA
"USGS-040432383",46.7796482,-87.8748522,NA,NA
"USGS-04043239",46.7885369,-87.8823519,NA,NA
"USGS-04043240",46.7890925,-87.8817963,NA,NA
"USGS-040432425",46.760204,-87.832353,NA,NA
"USGS-04043243",46.7685372,-87.8437416,NA,NA
"USGS-040432437",46.7749261,-87.8673524,NA,NA
"USGS-04043244",46.7857589,-87.8523522,NA,NA
"USGS-04043250",46.8485341,-87.7990176,NA,NA
"USGS-04043270",46.7263167,-87.8720756,NA,"12026150"
"USGS-04043275",46.7135391,-87.8406871,NA,NA
"USGS-04043295",46.7565916,-87.6617994,NA,NA
"USGS-04043300",46.8124232,-87.6798534,NA,"12024896"
"USGS-04043330",46.7024265,-87.5731904,NA,NA
"USGS-04043360",46.6740942,-87.5409688,NA,NA
"USGS-04043380",46.6429863,-87.8709659,NA,NA
"USGS-04043390",46.6496525,-87.8323548,NA,"12026156"
"USGS-04043400",46.5604887,-87.6990236,NA,NA
"USGS-04043600",46.5627103,-87.5687472,NA,NA
"USGS-04043800",46.5718763,-87.4765261,NA,NA
"USGS-04043870",46.5735429,-87.4695818,NA,NA
"USGS-04044003",46.5727096,-87.410972,NA,NA
"USGS-04044055",46.5468774,-87.4368049,NA,NA
"USGS-04044100",46.5446552,-87.3656954,NA,NA
"USGS-04044180",46.5010468,-87.7595796,NA,NA
"USGS-04044185",46.4999357,-87.7481907,NA,NA
"USGS-04044187",46.5002134,-87.7456907,NA,NA
"USGS-04044200",46.4863249,-87.6893023,NA,NA
"USGS-04044201",46.4888248,-87.6931911,NA,NA
"USGS-04044202",46.4941024,-87.6820801,NA,NA
"USGS-04044206",46.4941024,-87.656247,NA,NA
"USGS-04044210",46.4982689,-87.6831912,NA,NA
"USGS-04044211",46.4982689,-87.6829135,NA,NA
"USGS-04044212",46.5166015,-87.6748578,NA,NA
"USGS-04044300",46.523268,-87.7112462,NA,NA
"USGS-04044340",46.5332675,-87.6679132,NA,"12025220"
"USGS-04044341",46.5324342,-87.666802,NA,"12025220"
"USGS-04044360",46.5304896,-87.6040249,NA,NA
"USGS-04044370",46.5166013,-87.6118027,NA,NA
"USGS-04044371",46.5171569,-87.6068028,NA,NA
"USGS-04044380",46.5310451,-87.5898584,NA,NA
"USGS-04044400",46.5246565,-87.5737474,NA,NA
"USGS-04044401",46.5185456,-87.5609698,NA,NA
"USGS-04044402",46.5063239,-87.5856919,NA,"12025290"
"USGS-04044403",46.504935,-87.5256924,NA,NA
"USGS-04044404",46.5004907,-87.5073593,NA,NA
"USGS-04044405",46.5021573,-87.4951372,NA,NA
"USGS-04044406",46.494102,-87.4709711,NA,NA
"USGS-04044447",46.5193787,-87.5123591,NA,NA
"USGS-04044450",46.5071569,-87.441805,NA,NA
"USGS-04044460",46.5102123,-87.3904173,NA,NA
"USGS-04044462",46.5127122,-87.3859729,NA,NA
"USGS-04044500",46.5185452,-87.3843063,NA,NA
"USGS-04044525",46.3218873,-87.3890285,NA,NA
"USGS-04044528",46.3266094,-87.3840286,NA,NA
"USGS-04044531",46.3296648,-87.3812508,NA,NA
"USGS-040445315",46.3324424,-87.3779176,NA,NA
"USGS-04044532",46.3343868,-87.3726399,NA,NA
"USGS-04044533",46.3432753,-87.3634734,NA,NA
"USGS-04044534",46.3499417,-87.3495848,NA,NA
"USGS-04044536",46.3641078,-87.3243076,NA,NA
"USGS-04044537",46.3752185,-87.2831974,NA,NA
"USGS-04044538",46.3768851,-87.2748642,NA,NA
"USGS-04044544",46.4638259,-87.1962545,NA,NA
"USGS-04044545",46.4782694,-87.2159764,NA,NA
"USGS-04044552",46.3879955,-87.3656956,NA,NA
"USGS-04044554",46.401606,-87.3459738,NA,NA
"USGS-04044555",46.4163275,-87.4062503,NA,NA
"USGS-04044556",46.4213273,-87.3765287,NA,NA
"USGS-04044557",46.4121611,-87.3656956,NA,NA
"USGS-04044558",46.4018838,-87.3606957,NA,NA
"USGS-04044559",46.4057725,-87.3434739,NA,NA
"USGS-04044560",46.4118834,-87.3326408,NA,NA
"USGS-04044561",46.4271604,-87.3351407,NA,NA
"USGS-04044563",46.4343823,-87.3179189,NA,NA
"USGS-04044567",46.4652142,-87.3187523,NA,NA
"USGS-04044570",46.4363267,-87.4056948,NA,NA
"USGS-04044572",46.4521593,-87.3795842,NA,NA
"USGS-04044573",46.4554925,-87.3618069,NA,NA
"USGS-04044574",46.4566035,-87.3565292,NA,NA
"USGS-04044577",46.4729916,-87.3295854,NA,NA
"USGS-04044580",46.4618811,-87.4056948,NA,NA
"USGS-04044581",46.4629921,-87.392084,NA,NA
"USGS-04044582",46.4671586,-87.3812509,NA,NA
"USGS-04044583",46.4657698,-87.3648624,NA,NA
"USGS-04044584",46.4675,-87.3580556,NA,NA
"USGS-04044585",46.4688252,-87.356807,NA,NA
"USGS-04044586",46.4791025,-87.338474,NA,NA
"USGS-04044588",46.489102,-87.328752,NA,NA
"USGS-04044589",46.4757694,-87.4093058,NA,NA
"USGS-04044590",46.4727139,-87.3968061,NA,NA
"USGS-04044591",46.4710473,-87.3851397,NA,NA
"USGS-04044592",46.4799358,-87.3854175,NA,NA
"USGS-04044593",46.4821579,-87.3837508,NA,NA
"USGS-04044594",46.4822222,-87.3830556,NA,NA
"USGS-04044595",46.4899354,-87.3720844,NA,NA
"USGS-04044597",46.4893798,-87.3379185,NA,NA
"USGS-04044599",46.4957684,-87.3504182,NA,NA
"USGS-04044609",46.4871588,-87.1251443,NA,NA
"USGS-04044610",46.4893809,-87.125422,NA,NA
"USGS-04044620",46.4938259,-87.0512563,NA,NA
"USGS-04044624",46.4774382,-86.9534814,NA,NA
"USGS-04044630",46.46355,-86.9157053,NA,NA
"USGS-04044715",46.343001,-86.8873723,NA,NA
"USGS-04044720",46.3324462,-86.850429,NA,NA
"USGS-04044721",46.3399458,-86.8512624,NA,NA
"USGS-04044722",46.3393903,-86.8507069,NA,NA
"USGS-04044724",46.3407791,-86.8501514,NA,NA
"USGS-04044730",46.413275,-86.8423747,NA,NA
"USGS-04044732",46.3849459,-86.689879,NA,NA
"USGS-04044733",46.3835572,-86.6865457,NA,NA
"USGS-04044734",46.3821684,-86.6851568,NA,NA
"USGS-04044735",46.3835573,-86.6840458,NA,NA
"USGS-04044736",46.3896695,-86.6498799,NA,NA
"USGS-04044737",46.3893918,-86.6490465,NA,NA
"USGS-04044740",46.40328,-86.6479358,NA,NA
"USGS-04044741",46.4035577,-86.6504358,NA,NA
"USGS-04044742",46.4049467,-86.6457137,NA,NA
"USGS-04044743",46.4168913,-86.6301588,NA,NA
"USGS-04044744",46.4243912,-86.6243258,NA,NA
"USGS-04044750",46.4199515,-86.5232166,NA,NA
"USGS-04044755",46.4882817,-86.5407188,NA,NA
"USGS-04044759",46.4877301,-86.4682196,NA,NA
"USGS-04044762",46.5185622,-86.4782204,NA,NA
"USGS-04044765",46.5482861,-86.4390539,NA,NA
"USGS-04044766",46.5574543,-86.4107206,NA,NA
"USGS-04044770",46.5774574,-86.3507209,NA,NA
"USGS-04044775",46.6207957,-86.2587778,NA,NA
"USGS-04044782",46.6552444,-86.184056,NA,NA
"USGS-04044785",46.6633011,-86.1660006,NA,NA
"USGS-04044786",46.6674773,-86.0171106,NA,NA
"USGS-04044789",46.6663724,-85.9140503,NA,"12219412"
"USGS-04044792",46.6594427,-85.65709,NA,NA
"USGS-04044794",46.6669433,-85.6484787,NA,"12219270"
"USGS-04044795",46.6658319,-85.65209,NA,"12219270"
"USGS-04044796",46.6761113,-85.6265333,NA,NA
"USGS-04044797",46.5408276,-85.6893065,NA,NA
"USGS-04044798",46.590276,-85.6295834,NA,NA
"USGS-04044799",46.5911093,-85.6298612,NA,NA
"USGS-04044800",46.6058332,-85.6037492,NA,NA
"USGS-04044803",46.5786114,-85.5840238,NA,NA
"USGS-04044804",46.6608389,-85.5229134,NA,NA
"USGS-04044808",46.5925071,-85.4498479,NA,NA
"USGS-04044810",46.6422295,-85.47902,NA,NA
"USGS-04044811",46.6658408,-85.4887444,NA,NA
"USGS-04044813",46.6875104,-85.440686,NA,NA
"USGS-04044820",46.6727971,-85.2340004,NA,NA
"USGS-04044823",46.7111338,-85.0656462,NA,NA
"USGS-04044825",46.6753003,-85.0336975,NA,NA
"USGS-04044830",46.4777637,-85.839589,NA,NA
"USGS-04044835",46.449987,-85.8087515,NA,NA
"USGS-04044838",46.4027645,-85.7995803,NA,NA
"USGS-04044840",46.3727649,-85.7820768,NA,"120055315"
"USGS-04044990",46.3077695,-85.6465078,NA,NA
"USGS-04044991",46.3147144,-85.6370633,NA,NA
