"dowlknum","site_id"
"46007800","nhd_2748264"
"22005700",NA
"22006000",NA
"46003400","nhd_2748332"
"46010100",NA
"46000200",NA
"46013800",NA
"46010700",NA
"07009300",NA
"46001700",NA
"46009400","nhd_6590542"
"46000100","nhd_2748348"
"07010200",NA
"46003800","nhd_2748234"
"46005000",NA
"46003200","nhd_2748308"
"22007000",NA
"07009800","nhd_4141938"
"22008900",NA
"46011900",NA
"83002100","nhd_2423361"
"83004000","nhd_2424519"
"07010800",NA
"83000800",NA
"07009000","nhd_10597308"
"83000100",NA
"46002000","nhd_2748386"
"83000900",NA
"46005100","nhd_120052573"
"46001100","nhd_2748384"
"22007100",NA
"46006100","nhd_6590538"
"46002100",NA
"46000600",NA
"46011100","nhd_2748238"
"46008100",NA
"22008600",NA
"22009500",NA
"83004500",NA
"46009500","nhd_6590550"
"83000500","nhd_2424529"
"46010200",NA
"46003600","nhd_2748212"
"22007800",NA
"07011700",NA
"83002600",NA
"07013300",NA
"46003100","nhd_2748312"
"46011300","nhd_2748254"
"22006300",NA
"46004900","nhd_120053163"
"22004600",NA
"83000200",NA
"46010000",NA
"07012000",NA
"46002700","nhd_2748304"
"46007500",NA
"46000300",NA
"83002300",NA
"22006500","nhd_10597324"
"46000800","nhd_2748346"
"22007300",NA
"22007200","nhd_10597312"
"46010500",NA
"46009700",NA
"07011400",NA
"46008900",NA
"46000400",NA
"83003900",NA
"22006100","nhd_2748336"
"46013300","nhd_2748226"
"46014800",NA
"46011700","nhd_2748208"
"83003400",NA
"46011600","nhd_2748262"
"07011600",NA
"07010100","nhd_4141934"
"83003100","nhd_2424453"
"07010600",NA
"07008600",NA
"83004900",NA
"46003000","nhd_2748300"
"22008400",NA
"46005700",NA
"07006100",NA
"46014600","nhd_2748182"
"46011800",NA
"46001900",NA
"83004700",NA
"83002000",NA
"46014700","nhd_2748186"
"46001200","nhd_2748298"
"46001800",NA
"83000600",NA
"22006700",NA
"46008700",NA
"22008700",NA
"22005000",NA
"83003000",NA
"07011200",NA
"46004100","nhd_2748248"
"46009600","nhd_6590552"
"46004800","nhd_2748204"
"46000700",NA
"07008300",NA
"46015500",NA
"22008200",NA
"46005300",NA
"46001401","nhd_2748358"
"46010900","nhd_2748280"
"83002500",NA
"22009600",NA
"83001400","nhd_2424465"
"46006800",NA
"83001500",NA
"22007700",NA
"46003300","nhd_2748338"
"22003900",NA
"46005600",NA
"07014500",NA
"83000700",NA
"46008300","nhd_2424559"
"83001200",NA
"83004600",NA
"46005400",NA
"07007900","nhd_10596486"
"83002800",NA
"07011300",NA
"46003900","nhd_2748242"
"46013000","nhd_2748224"
"22004100",NA
"83001700",NA
"46009200",NA
"07011800",NA
"22007400","nhd_10597314"
"46008800","nhd_6590544"
"83002900",NA
"83004200","nhd_2424427"
"07009100","nhd_2748172"
"07009200",NA
"46002600",NA
"07010300",NA
"07008700",NA
"08000100",NA
"83002200",NA
"46012000",NA
"83000400",NA
"07013700","nhd_2748168"
"83000300",NA
"83001100",NA
"46002200","nhd_2748408"
"83004800",NA
"83005800","nhd_2423367"
"46010300","nhd_6590520"
"46012100","nhd_2748194"
"46007900",NA
"83002700",NA
"83003800",NA
"83001800",NA
"83003700","nhd_2424513"
"83001900","nhd_2423359"
"46001000","nhd_2748360"
"46007700",NA
"22007600",NA
"46006000",NA
"22004000",NA
"46006400",NA
"07008100","nhd_10597296"
"83003600","nhd_2424511"
"46004000",NA
"46004300","nhd_2748270"
"46003700","nhd_2748236"
"46008200",NA
"83004100",NA
"46004900","nhd_120053163"
"46002801",NA
"22008500",NA
"83004400",NA
"07008800",NA
"22008300",NA
"83003500","nhd_2424503"
"46011000",NA
"46000900","nhd_2748352"
"83005900",NA
"46009900","nhd_6590562"
"46008000",NA
"24001700","nhd_6558639"
"24003700","nhd_6558615"
"24003800","nhd_6558613"
"22009200",NA
"24003000","nhd_6565291"
"24004000","nhd_6558621"
"81001600","nhd_2032355"
"81007600","nhd_10596440"
"07002100",NA
"24005300",NA
"81000500","nhd_10596470"
"22009300",NA
"81001402",NA
"22000900",NA
"07005900","nhd_10595756"
"81008300","nhd_10595748"
"24005500",NA
"81012000",NA
"24004700",NA
"24001800","nhd_6558619"
"81001200",NA
"24001300",NA
"07002800",NA
"81004300",NA
"22000300",NA
"07000800",NA
"07006600",NA
"22001600",NA
"81010500",NA
"81001700",NA
"81006500",NA
"81000300","nhd_10596466"
"22000800",NA
"22005400",NA
"81002000",NA
"81003500",NA
"81007300",NA
"07007500",NA
"24006500",NA
"07002600",NA
"24001500","nhd_7014901"
"22003000",NA
"22005100",NA
"07007000",NA
"24001000",NA
"81007200",NA
"24008001",NA
"22002500",NA
"24003300","nhd_6558681"
"81006600",NA
"74006800",NA
"81003800",NA
"74007600",NA
"81005200",NA
"22000500",NA
"81010200","nhd_10596438"
"22004700",NA
"07002500",NA
"07006200",NA
"74007400",NA
"24003900",NA
"22003400",NA
"81008400",NA
"24004400","nhd_10596552"
"24001801","nhd_6558619"
"22002400",NA
"07002000","nhd_10596430"
"24002700","nhd_6558697"
"81004700","nhd_10595738"
"07002200",NA
"07003100",NA
"81001401","nhd_2032351"
"74002900",NA
"22001200",NA
"22000100",NA
"22000700","nhd_2747660"
"07006800",NA
"22005200",NA
"07014600",NA
"81008000",NA
"24000900",NA
"22001400",NA
"81011400",NA
"81004500",NA
"24003400",NA
"81001800",NA
