WBIC	LAT	LON
5500121	46.867624	-91.084755
5500136	46.851381	-90.840926
2873500	46.599886	-91.359303
5500617	46.605897	-90.692095
5501034	46.544211	-90.307414
5500149	46.838672	-90.827881
2831400	46.838658	-90.834828
5500151	46.838347	-90.836906
5500165	46.828140	-90.902386
5500171	46.823453	-90.804145
5500177	46.819221	-90.832692
5500623	46.584136	-92.298911
2887200	46.597894	-90.950400
2891900	46.597951	-90.689788
2828700	46.591695	-91.329313
5500668	46.587503	-91.612729
5500689	46.590418	-90.951640
5500690	46.590295	-90.951991
5501096	46.537967	-90.572228
5500225	46.770783	-91.287554
5500242	46.753589	-91.120953
5500243	46.739448	-92.108975
5500245	46.745971	-91.612514
5500278	46.729505	-91.420981
2811900	46.583272	-91.290459
5501205	46.523111	-90.881463
5501217	46.515663	-91.495239
5500308	46.716473	-90.879836
5500309	46.709370	-91.527028
5500323	46.700739	-91.285803
5500722	46.581441	-91.341386
5500727	46.584266	-90.926007
5500743	46.567923	-91.971076
5500333	46.684612	-92.117528
5500785	46.568051	-91.452794
5501431	46.476513	-91.956231
5500361	46.675594	-92.079009
5500378	46.675041	-91.879402
5500787	46.570601	-91.165048
5501251	46.518323	-90.718710
5501272	46.506702	-91.661702
5501275	46.504684	-91.768461
5501283	46.514797	-90.699459
2866900	46.499982	-91.759339
5501298	46.513209	-90.680001
2830700	46.679690	-91.040592
5500397	46.660434	-92.252715
5500398	46.664359	-92.087495
2872400	46.675106	-91.427849
2829800	46.656396	-92.080827
5500824	46.567668	-90.742407
5500831	46.566037	-90.820156
5500849	46.561940	-91.031016
2801825	46.483023	-91.248350
5501457	46.486341	-90.707665
2886700	46.655377	-91.034283
5501157	46.522142	-91.495281
5500470	46.639920	-92.007080
5500475	46.635265	-92.098389
5500890	46.544890	-91.953031
5501311	46.507970	-91.024562
2866100	46.494131	-91.727279
5500482	46.633967	-92.093462
2826800	46.638684	-91.215652
5500942	46.543971	-91.555891
5500945	46.547056	-91.297638
2823300	46.518769	-91.517003
5500020	46.948316	-90.562409
5500028	46.941463	-90.544894
5500040	46.937572	-90.593817
5500041	46.937458	-90.552471
5500542	46.617925	-91.391127
5501328	46.487251	-92.212598
2801500	46.498589	-91.258195
2806000	46.487460	-91.658669
2810100	46.479128	-92.122379
5500055	46.934314	-90.550622
5500081	46.924428	-90.949153
2906200	46.365230	-90.352521
5502857	46.311876	-91.127363
2746900	46.305499	-91.642368
2745000	46.302383	-91.659393
5502886	46.314533	-90.324988
5501492	46.468814	-91.888384
2803300	46.475997	-91.331432
2757800	46.472259	-91.355990
5501984	46.397806	-91.540558
5501995	46.405537	-90.525801
2766300	46.397348	-91.313450
5502894	46.313911	-90.326939
2742700	46.309553	-91.478947
2796900	46.396529	-91.208791
5502037	46.381420	-92.158260
5502041	46.382970	-92.006224
2594300	46.354002	-91.535815
5502386	46.356656	-91.326895
2791700	46.359016	-90.978662
5502401	46.362338	-90.192710
5502412	46.358081	-90.944854
5502925	46.309925	-89.935788
5502926	46.312217	-90.310626
2591600	46.389068	-91.508536
2592500	46.386552	-91.538951
5502065	46.389145	-91.359282
5502431	46.348211	-91.625768
5502432	46.357152	-90.790401
5502943	46.310761	-90.367105
5502450	46.357766	-90.180965
5502455	46.352351	-90.971526
2798600	46.349294	-91.250161
5502465	46.342352	-91.732451
5502471	46.343783	-91.654807
2304700	46.293803	-89.996405
2774800	46.465781	-91.349473
5501560	46.468025	-91.085148
5502503	46.345800	-91.292827
2482600	46.277403	-91.515662
2867300	46.454323	-91.729535
5501587	46.464849	-90.551703
2799500	46.387192	-91.324588
5502110	46.385783	-91.271350
5502527	46.342581	-91.323578
2589900	46.290433	-91.839798
5501649	46.456085	-90.547856
5502140	46.388137	-90.583215
2795400	46.340074	-91.132875
5502588	46.341491	-90.880984
2790900	46.279499	-91.255536
5502155	46.365737	-92.239157
5502158	46.371296	-91.938947
5502160	46.385899	-90.530741
2591000	46.333051	-91.357743
2588500	46.327870	-91.637630
5503247	46.263928	-92.170904
2486500	46.270645	-91.207828
2908700	46.385494	-90.411872
5502174	46.383190	-90.768265
2592400	46.375629	-91.522694
5502622	46.328482	-91.629907
2793600	46.335524	-90.971374
5502628	46.330286	-91.443366
5502637	46.338123	-90.295257
5503017	46.304798	-89.969986
2773500	46.302669	-90.440447
2742800	46.292698	-91.495885
5503053	46.292289	-91.493646
5502211	46.372858	-91.451799
2469700	46.370144	-91.561211
5502217	46.371155	-91.541330
