"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-04170490",42.5130888,-83.6757739,13173369
"USGS-04171022",42.4761111,-83.7702778,13226970
"USGS-04171350",42.5169777,-83.8024438,13173339
"USGS-04171600",42.4858671,-83.7971653,13226968
"USGS-04171707",42.4758333,-83.7972222,13174467
"USGS-04171900",42.4691667,-83.7980556,13174533
"USGS-04174448",42.3111111,-83.7586111,13174797
"USGS-04174890",42.2233726,-83.6032713,13174839
"USGS-04175130",42.0328219,-83.190482,13226552
"USGS-04175590",42.1547613,-84.220783,15660884
"USGS-04176632",41.7686578,-83.4560443,15634493
"USGS-05390062",46.175229,-89.0973587,14445272
"USGS-05390064",46.1643958,-89.110692,14445272
"USGS-05390074",46.1496746,-89.0390237,14445288
"USGS-05390088",46.1271751,-89.0431898,14445306
"USGS-414237084391301",41.7103277,-84.6535639,15676335
"USGS-414237084391302",41.7103277,-84.6535639,15676335
"USGS-414237084391303",41.7103277,-84.6535639,15676335
"USGS-414237084391305",41.7103277,-84.6535639,15676335
"USGS-414237084391306",41.7103277,-84.6535639,15676335
"USGS-414327084385001",41.7242165,-84.6471748,15676327
"USGS-414327084385002",41.7242165,-84.6471748,15676327
"USGS-414327084385003",41.7242165,-84.6471748,15676327
"USGS-414327084385005",41.7242165,-84.6471748,15676327
"USGS-414327084385006",41.7242165,-84.6471748,15676327
"USGS-414606085021501",41.7683333,-85.0375,12259064
"USGS-414606085021502",41.7683333,-85.0375,12259064
"USGS-414606085021503",41.7683333,-85.0375,12259064
"USGS-414606085021505",41.7683333,-85.0375,12259064
"USGS-414606085021506",41.7683333,-85.0375,12259064
"USGS-4146070832722",41.7686578,-83.4560443,15634493
"USGS-414639084594101",41.77755,-84.9946862,167552420
"USGS-414639084594102",41.77755,-84.9946862,167552420
"USGS-414639084594103",41.77755,-84.9946862,167552420
"USGS-414639084594105",41.77755,-84.9946862,167552420
"USGS-414639084594106",41.77755,-84.9946862,167552420
